Head to head statistics:

 1) Goldfish v2.0.0-rc7 2050.6 :    650 (+322,=216,-112),  66.2 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff
    Goldfish v1.13.0           :    359 ( 151, 114,  94),  57.9 :   +67.6
    Goldfish v2.0.0-rc6        :     98 (  52,  42,   4),  74.5 :  +179.5
    Goldfish v2.0.0-rc3        :     97 (  56,  34,   7),  75.3 :  +188.5
    Goldfish v2.0.0-rc5        :     96 (  63,  26,   7),  79.2 :  +191.8

 2) Goldfish v1.13.0    1983.0 :   1942 (+827,=561,-554),  57.0 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff
    Goldfish v2.0.0-rc7        :    359 (  94, 114, 151),  42.1 :   -67.6
    Goldfish v1.12.1           :   1080 ( 473, 292, 315),  57.3 :   +50.9
    Goldfish v2.0.0-rc6        :     80 (  44,  23,  13),  69.4 :  +111.9
    Goldfish v2.0.0-rc3        :     69 (  27,  26,  16),  58.0 :  +120.9
    Goldfish v2.0.0-rc5        :     70 (  34,  23,  13),  65.0 :  +124.2
    Goldfish v2.0.0-rc1        :     78 (  44,  25,   9),  72.4 :  +145.7
    Goldfish v2.0.0-rc2        :    178 (  94,  52,  32),  67.4 :  +148.0
    Goldfish v2.0.0-rc4        :     28 (  17,   6,   5),  71.4 :  +179.3

 3) Goldfish v1.12.1    1932.1 :   1613 (+524,=448,-641),  46.4 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff
    Goldfish v1.13.0           :   1080 ( 315, 292, 473),  42.7 :   -50.9
    Goldfish v1.12.0           :    533 ( 209, 156, 168),  53.8 :   +25.4

 4) Goldfish v1.12.0    1906.7 :   1528 (+609,=449,-470),  54.5 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff
    Goldfish v1.12.1           :    533 ( 168, 156, 209),  46.2 :   -25.4
    Goldfish v1.11.1           :    353 ( 138, 100, 115),  53.3 :   +13.2
    Goldfish v1.9.0            :    352 ( 144, 101, 107),  55.3 :   +27.9
    Goldfish v1.7.0            :     32 (  14,  10,   8),  59.4 :   +92.4
    Goldfish v1.8.2            :     32 (   8,  16,   8),  50.0 :   +97.3
    Goldfish v1.6.0            :     32 (  14,   9,   9),  57.8 :  +122.4
    Goldfish v1.5.1            :     32 (  19,  12,   1),  78.1 :  +180.0
    Goldfish v1.4              :     32 (  20,  10,   2),  78.1 :  +185.2
    Goldfish v1.3              :     32 (  19,   9,   4),  73.4 :  +199.9
    Goldfish v1.2              :     32 (  16,  13,   3),  70.3 :  +230.4
    Goldfish v1.1              :     33 (  26,   6,   1),  87.9 :  +271.6
    Goldfish v1.0              :     33 (  23,   7,   3),  80.3 :  +276.9

 5) Goldfish v1.11.1    1893.5 :   2015 (+781,=628,-606),  54.3 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff
